time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate
48,4372,137.49,212992,52,576.81,5674.661019897461,0.0,510,1.7674756e-07,2829.697021484375,0.2,-1.1810975411208347e-05,-1.6092182964086532,0.0,1e-05
48,4457,133.69,217088,53,556.64,5879.101258850098,0.0,520,2.8261275e-07,2681.673828125,0.2,-1.8255945178680122e-05,-1.6092056330293416,0.0,1e-05
48,4541,135.33,221184,54,564.62,5449.423141479492,0.0,530,3.6836718e-07,2606.72607421875,0.2,-2.2824138068244792e-05,-1.6091916881501676,0.0,1e-05
48,4627,137.85,225280,55,563.61,5510.754263305664,-1.1920928955078125e-07,540,1.0995427e-07,2852.18701171875,0.2,-6.471609231084585e-06,-1.6091808523982762,0.0,1e-05
48,4714,140.65,229376,56,584.48,5530.513928222656,0.0,550,8.3397026e-08,3091.51220703125,0.2,-5.18965971423313e-06,-1.609174047410488,0.0,1e-05
48,4799,140.44,233472,57,587.37,6062.104229736328,-1.1920928955078125e-07,560,1.2249802e-07,2831.561767578125,0.2,-7.505688699893653e-06,-1.6091655060648917,0.0,1e-05
48,4884,136.29,237568,58,578.03,5881.706193542481,1.1920928955078125e-07,570,2.1139567e-07,2703.0087890625,0.2,-1.2885883916169404e-05,-1.6091541927307844,0.0,1e-05
48,4968,137.64,241664,59,580.0,5658.014408874512,0.0,580,2.7833448e-07,2952.035400390625,0.2,-1.80013565113768e-05,-1.6091387435793876,0.0,1e-05
48,5052,140.43,245760,60,591.96,5991.839057922363,0.0,590,1.4420948e-07,3135.397216796875,0.2,-9.143091301666572e-06,-1.609129713475704,0.0,1e-05
48,5137,146.29,249856,61,607.68,6177.322001647949,0.0,600,1.05341314e-07,2954.462890625,0.2,-5.93287477386184e-06,-1.6091248992830516,0.0,1e-05
48,5222,145.82,253952,62,614.47,5438.705935668945,5.960464477539063e-08,610,1.588196e-07,2882.3330078125,0.2,-9.908013817039319e-06,-1.6091161105781793,0.0,1e-05
48,5306,142.78,258048,63,612.34,5669.988793945313,0.0,620,1.3553654e-07,3269.827392578125,0.2,-7.168589945649728e-06,-1.609110552072525,0.0,1e-05
48,5390,134.5,262144,64,574.78,6016.461270141602,0.0,630,4.0812301e-07,2998.619140625,0.2,-2.7724869505618698e-05,-1.6091011483222246,0.0,1e-05
48,5475,130.05,266240,65,564.63,5510.805583190918,0.0,640,4.6595233e-08,2796.779296875,0.2,-2.5785200705286114e-06,-1.6090922098606826,0.0,1e-05
48,5561,132.76,270336,66,578.63,5984.140162658691,0.0,650,1.8556602e-07,2693.15087890625,0.2,-1.1967679893132299e-05,-1.6090850472450255,0.0,1e-05
48,5646,136.47,274432,67,584.7,6207.762043762207,0.0,660,1.1845259e-08,3044.1005859375,0.2,-7.413342245854437e-07,-1.6090763926506042,0.0,1e-05
48,5730,138.37,278528,68,590.05,5406.449189758301,0.0,670,2.783636e-07,2586.431884765625,0.2,-1.6163536929525436e-05,-1.6090662777423859,0.0,1e-05
48,5815,144.74,282624,69,600.61,6032.5983612060545,-1.1920928955078125e-07,680,3.1288073e-07,3027.902099609375,0.2,-2.0754671277245505e-05,-1.6090461619198322,0.0,1e-05
48,5899,144.94,286720,70,600.83,5831.438829040528,0.0,690,8.227653e-08,2705.169677734375,0.2,-4.794042615685612e-06,-1.6090289194136858,0.0,1e-05
48,5983,142.64,290816,71,590.85,5487.649041748047,0.0,700,1.6060949e-07,2032.998046875,0.2,-9.014249371830374e-06,-1.6090144593268634,0.0,1e-05
48,6068,143.03,294912,72,592.72,5529.556785583496,0.0,710,3.5812263e-08,3012.251953125,0.2,-2.206881617894396e-06,-1.6090045522898435,0.0,1e-05
48,6153,140.23,299008,73,584.94,5711.553776550293,-1.1920928955078125e-07,720,3.8946746e-07,2920.52685546875,0.2,-2.4864376973710024e-05,-1.6089896377176047,0.0,1e-05
48,6237,141.36,303104,74,592.27,5912.392227172852,1.1920928955078125e-07,730,1.603621e-07,3315.295166015625,0.2,-1.068882702384144e-05,-1.6089685089886188,0.0,1e-05
48,6323,144.17,307200,75,612.81,5851.202481079102,-1.1920928955078125e-07,740,2.613524e-07,2815.6826171875,0.2,-1.72387055499712e-05,-1.6089532874524592,0.0,1e-05
48,6408,141.35,311296,76,598.51,6256.516082763672,0.0,750,1.591834e-07,3642.823974609375,0.2,-1.0890727935475297e-05,-1.60893484801054,0.0,1e-05
48,6495,144.29,315392,77,601.25,5419.697738647461,5.960464477539063e-08,760,3.8807048e-07,2635.3916015625,0.2,-2.25242278247606e-05,-1.608922330290079,0.0,1e-05
48,6580,139.79,319488,78,581.42,5378.173583984375,0.0,770,6.2267645e-08,2288.221923828125,0.2,-3.1215749913826585e-06,-1.6089135520160198,0.0,1e-05
48,6665,138.76,323584,79,575.46,5850.3512313842775,-1.1920928955078125e-07,780,2.8744398e-07,2603.2822265625,0.2,-1.773584299371578e-05,-1.608898516371846,0.0,1e-05
48,6748,137.01,327680,80,573.03,5921.913258361817,0.0,790,3.3402466e-07,3260.4111328125,0.2,-2.051431583822705e-05,-1.608876109495759,0.0,1e-05
48,6836,136.76,331776,81,577.88,5717.784838867187,0.0,800,6.085611e-08,2941.577880859375,0.2,-4.028084367746487e-06,-1.6088583577424287,0.0,1e-05
48,6921,136.63,335872,82,569.18,5849.385975646973,5.960464477539063e-08,810,3.7363498e-07,3038.1572265625,0.2,-2.3169746418716387e-05,-1.6088419925421475,0.0,1e-05
48,7006,138.71,339968,83,579.8,5590.022053527832,1.1920928955078125e-07,820,5.234615e-07,2462.110107421875,0.2,-3.1606572883902116e-05,-1.6088115185499192,0.0,1e-05
48,7092,140.07,344064,84,583.14,6226.444412231445,0.0,830,1.7035927e-07,2672.85498046875,0.2,-1.1552649084478617e-05,-1.608785431087017,0.0,1e-05
48,7176,144.42,348160,85,605.34,5529.512168884277,0.0,840,3.9098086e-07,2927.895263671875,0.2,-2.5237461522920056e-05,-1.608762976154685,0.0,1e-05
48,7261,142.68,352256,86,597.07,6128.293214416504,0.0,850,1.9036816e-07,3333.200927734375,0.2,-1.168391027022153e-05,-1.6087401762604714,0.0,1e-05
48,7347,139.48,356352,87,589.45,5486.6009521484375,0.0,860,2.1340384e-07,2581.8349609375,0.2,-1.2929656077176332e-05,-1.6087270691990851,0.0,1e-05
48,7431,135.9,360448,88,571.73,6373.833381652832,1.1920928955078125e-07,870,3.0848605e-07,3233.447998046875,0.2,-1.9579313448048197e-05,-1.6087076757103205,0.0,1e-05
48,7516,140.1,364544,89,581.43,5532.669641113282,0.0,880,1.1877273e-07,2722.854248046875,0.2,-6.052998651284725e-06,-1.6086941812187434,0.0,1e-05
48,7601,140.02,368640,90,582.28,5607.577490234375,0.0,890,3.2768003e-07,2611.189453125,0.2,-2.0786653840332293e-05,-1.6086817309260368,0.0,1e-05
48,7687,142.25,372736,91,583.22,5742.7700119018555,0.0,900,1.8170977e-07,2567.07421875,0.2,-1.1045437713619321e-05,-1.608656020089984,0.0,1e-05
48,7771,142.87,376832,92,589.15,5637.574705505371,0.0,910,1.136068e-07,3051.196533203125,0.2,-6.951161776669324e-06,-1.6086351953446865,0.0,1e-05
48,7857,142.25,380928,93,587.88,5740.410237121582,0.0,920,1.5608384e-07,3098.802978515625,0.2,-9.945861529558897e-06,-1.6086153578013183,0.0,1e-05
48,7943,144.47,385024,94,594.26,5679.767013549805,5.960464477539063e-08,930,2.1795859e-07,2541.02685546875,0.2,-1.3741898874286562e-05,-1.608591176941991,0.0,1e-05
48,8027,145.06,389120,95,588.91,5357.145944213868,0.0,940,8.1796315e-08,2431.660888671875,0.2,-5.5659464123891665e-06,-1.6085692897439003,0.0,1e-05
48,8113,142.9,393216,96,579.46,5373.925346374512,0.0,950,3.655441e-08,2925.060546875,0.2,-1.2209813576191663e-06,-1.6085571061819792,0.0,1e-05
48,8198,144.21,397312,97,589.63,5684.878099060059,0.0,960,4.7773938e-08,2775.19873046875,0.2,-3.389990160940215e-06,-1.6085469648241997,0.0,1e-05
48,8287,144.15,401408,98,599.72,5631.466177368164,5.960464477539063e-08,970,1.2681994e-07,2700.5537109375,0.2,-8.598347631050273e-06,-1.6085335470736026,0.0,1e-05
48,8370,144.49,405504,99,606.74,6075.906878662109,1.1920928955078125e-07,980,6.3781044e-08,2888.481201171875,0.2,-3.878893767250702e-06,-1.6085218489170074,0.0,1e-05
48,8455,141.24,409600,100,598.79,5858.37303314209,0.0,990,6.91507e-08,2863.103759765625,0.2,-4.459798947209492e-06,-1.6085103005170822,0.0,1e-05
48,8539,142.01,413696,101,601.51,5989.500280761718,1.1920928955078125e-07,1000,6.2951585e-08,3139.468505859375,0.2,-3.935551649192348e-06,-1.608495232835412,0.0,1e-05
48,8623,143.27,417792,102,595.12,5948.957159423828,0.0,1010,1.0187796e-07,2991.98583984375,0.2,-7.2308761446038264e-06,-1.60847849547863,0.0,1e-05
48,8711,144.31,421888,103,589.72,5331.200318908692,0.0,1020,5.8789738e-08,2657.896728515625,0.2,-3.2152223866432904e-06,-1.608462454751134,0.0,1e-05
48,8795,137.97,425984,104,564.36,5661.542738342285,0.0,1030,1.7011189e-07,3069.468017578125,0.2,-1.0642530287441333e-05,-1.6084472339600324,0.0,1e-05
48,8881,135.4,430080,105,564.57,5675.087991333008,0.0,1040,1.3626413e-07,2800.589111328125,0.2,-8.663760672789067e-06,-1.6084319140762091,0.0,1e-05
48,8966,132.74,434176,106,562.44,5942.013952636718,1.1920928955078125e-07,1050,7.964263e-08,3097.760986328125,0.2,-5.119812703924253e-06,-1.6084172081202268,0.0,1e-05
48,9050,136.43,438272,107,570.32,5557.875592041016,0.0,1060,1.8405262e-07,2944.31396484375,0.2,-1.2008466001134366e-05,-1.6084033325314522,0.0,1e-05
48,9136,137.95,442368,108,570.9,5482.181169128418,5.960464477539063e-08,1070,1.444132e-07,2421.4599609375,0.2,-8.576901745982467e-06,-1.6083890426903964,0.0,1e-05
48,9223,141.02,446464,109,587.92,6009.388429260254,1.1920928955078125e-07,1080,2.7069473e-07,3045.843505859375,0.2,-1.6606436838628723e-05,-1.6083634722977878,0.0,1e-05
48,9308,144.99,450560,110,608.26,5962.1075241088865,0.0,1090,2.3984467e-07,2917.697998046875,0.2,-1.574047200847417e-05,-1.6083382789045573,0.0,1e-05
48,9393,145.43,454656,111,613.12,5692.144157409668,0.0,1100,3.0742376e-07,2650.253662109375,0.2,-1.9250962577643804e-05,-1.6083348963409663,0.0,1e-05
48,9477,146.24,458752,112,606.28,5679.024618530273,0.0,1110,9.65083e-08,2481.844970703125,0.2,-5.628470535157248e-06,-1.60833622738719,0.0,1e-05
48,9562,144.55,462848,113,605.46,5357.695892333984,0.0,1120,4.7381036e-08,2848.57958984375,0.2,-2.0331463019829243e-06,-1.6083267964422703,0.0,1e-05
48,9647,143.07,466944,114,600.84,6190.392251586914,5.960464477539063e-08,1130,1.1341763e-07,2798.234375,0.2,-7.892597568570637e-06,-1.6083117857575417,0.0,1e-05
48,9733,137.64,471040,115,587.5,5453.742324829102,1.1920928955078125e-07,1140,1.5454134e-07,3003.5087890625,0.2,-8.738307587918826e-06,-1.6082916136831045,0.0,1e-05
