time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
54,560,15,30720,0.0,0.0,140,0.9277138605713844,-1.135507773142308e-06,0.4387529790401459,1e-06,0.2,-1.609437906369567,0.0,16184.0,475.0
54,597,16,32768,0.0,0.0,150,0.8353431802242994,-1.335883280262351e-06,0.3724796772003174,1e-06,0.2,-1.6094378985464572,0.0,16184.0,475.0
54,633,17,34816,0.0,0.0,160,0.7807771684601903,-3.467801434453577e-06,0.36455050110816956,1e-06,0.2,-1.609437907114625,0.0,16415.0,679.0
55,668,18,36864,0.0,0.0,170,152.39366400241852,-2.589222276583314e-08,101.24461364746094,1e-06,0.2,-1.6094379037618638,0.0,16415.0,679.0
55,703,19,38912,0.0,1.7881393432617188e-07,180,0.7837286744266748,-1.0837771696969868e-06,0.3571200370788574,1e-06,0.2,-1.6094379026442767,0.0,16415.0,679.0
55,740,20,40960,0.0,-1.1920928955078125e-07,190,0.7874201128259302,-7.186084985733032e-07,0.3939465582370758,1e-06,0.2,-1.6094378996640444,0.0,16415.0,679.0
55,778,21,43008,0.0,-1.1920928955078125e-07,200,55.96103403810412,-1.5985206118784845e-06,36.32283401489258,1e-06,0.2,-1.6094378922134638,0.0,16415.0,679.0
55,817,22,45056,0.0,0.0,210,66.90730106960982,-1.369306119158864e-07,12.442841529846191,1e-06,0.2,-1.609437907114625,0.0,16415.0,679.0
55,853,23,47104,0.0,-1.1920928955078125e-07,220,14.952777750603854,-1.9797211280092596e-06,5.460272789001465,1e-06,0.2,-1.609437895193696,0.0,11387.0,719.0
55,891,24,49152,0.0,0.0,230,457.18486671447755,-2.1740852389484645e-07,223.06918334960938,1e-06,0.2,-1.6094378914684058,0.0,11387.0,719.0
55,928,25,51200,0.0,-1.1920928955078125e-07,240,0.7855283984914422,-7.957627531141043e-07,0.47981494665145874,1e-06,0.2,-1.6094378668814897,0.0,11387.0,719.0
54,971,26,53248,0.0,-1.1920928955078125e-07,250,0.7821916311979293,-3.927988291252404e-06,0.39593735337257385,1e-06,0.2,-1.6094378720968963,0.0,11387.0,719.0
54,1009,27,55296,0.0,-1.1920928955078125e-07,260,0.7875941127538681,-1.3629294699057937e-06,0.4277253746986389,1e-06,0.2,-1.6094378557056188,0.0,11387.0,719.0
54,1050,28,57344,0.0,0.0,270,111.58545843362808,-1.0791845852509141e-07,88.35684204101562,1e-06,0.2,-1.6094378609210254,0.0,11387.0,719.0
54,1094,29,59392,0.0,0.0,280,0.9105608053505421,-3.8538273656740784e-07,0.4312683641910553,1e-06,0.2,-1.6094378497451545,0.0,11387.0,719.0
54,1136,30,61440,0.0,0.0,290,22.388465849496423,-2.912273339461535e-06,0.9887447953224182,1e-06,0.2,-1.609437858685851,0.0,11387.0,719.0
53,1177,31,63488,0.0,0.0,300,0.7821908134967088,-1.6619909729342907e-06,0.4467395544052124,1e-06,0.2,-1.6094378627836705,0.0,11387.0,719.0
53,1213,32,65536,0.0,0.0,310,166.03309147953988,-5.694033461622894e-07,121.02163696289062,1e-06,0.2,-1.6094378516077996,0.0,11387.0,719.0
53,1260,33,67584,0.0,5.960464477539063e-08,320,0.7839187389239669,-1.9705577869899573e-06,0.42524832487106323,1e-06,0.2,-1.6094378620386123,0.0,11387.0,719.0
53,1298,34,69632,0.0,5.960464477539063e-08,330,0.7816905029118061,-1.5932593669276684e-06,0.4098230004310608,1e-06,0.2,-1.609437871351838,0.0,13922.0,681.2
53,1338,35,71680,0.0,0.0,340,4.91427192427218,-3.099416062468663e-07,0.3855699598789215,1e-06,0.2,-1.6094378679990768,0.0,13922.0,681.2
53,1378,36,73728,0.0,0.0,350,283.78989174365995,-1.127889845520258e-07,192.12991333007812,1e-06,0.2,-1.6094378646463157,0.0,13922.0,681.2
53,1414,37,75776,0.0,0.0,360,0.7843335134908557,-3.845445462502539e-07,0.3657262623310089,1e-06,0.2,-1.6094378679990768,0.0,13922.0,681.2
53,1450,38,77824,0.0,1.1920928955078125e-07,370,28.822380173392595,-1.452698779758066e-06,9.623601913452148,1e-06,0.2,-1.6094378627836705,0.0,13922.0,681.2
53,1486,39,79872,0.0,0.0,380,0.7868028556928038,-1.4071018085815013e-06,0.366571843624115,1e-06,0.2,-1.6094378720968963,0.0,12983.833333333334,691.1666666666666
53,1523,40,81920,0.0,0.0,390,173.0658014893532,-2.74804187938571e-07,87.70599365234375,1e-06,0.2,-1.6094378642737865,0.0,12983.833333333334,691.1666666666666
53,1558,41,83968,0.0,1.7881393432617188e-07,400,0.7806581797078251,-1.5305566194001586e-06,0.4176507294178009,1e-06,0.2,-1.6094378672540188,0.0,12983.833333333334,691.1666666666666
53,1593,42,86016,0.0,0.0,410,0.7841365454718471,-4.421643097884953e-07,0.3593823313713074,1e-06,0.2,-1.6094378490000962,0.0,12983.833333333334,691.1666666666666
54,1629,43,88064,0.0,0.0,420,33.08921720795333,4.013563739135861e-08,39.03086853027344,1e-06,0.2,-1.6094378516077996,0.0,12983.833333333334,691.1666666666666
54,1665,44,90112,0.0,0.0,430,97.33444765396416,-3.626832040026784e-07,77.23440551757812,1e-06,0.2,-1.6094378527253865,0.0,12983.833333333334,691.1666666666666
54,1704,45,92160,0.0,0.0,440,0.9122498383745551,-1.9013641576748341e-06,0.36747491359710693,1e-06,0.2,-1.6094378467649222,0.0,12983.833333333334,691.1666666666666
54,1741,46,94208,0.0,1.1920928955078125e-07,450,0.8537194460630417,-9.431299986317754e-07,0.5830918550491333,1e-06,0.2,-1.6094378415495156,0.0,12983.833333333334,691.1666666666666
54,1778,47,96256,0.0,2.384185791015625e-07,460,150.16762937903405,-3.818786353804171e-07,55.60634994506836,1e-06,0.2,-1.6094378378242253,0.0,12983.833333333334,691.1666666666666
